county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid_19_community_level,date_updated
Wilcox County,13315,Georgia,8635,197,"Sumter, GA - Crisp, GA",86868,0.2,2.3,11.58,Low,2022-05-19T07:00:00Z
Caldwell County,29025,Missouri,9020,548,"Jackson (Kansas City), MO - Clay, MO",1310630,3.2,10.8,277.16,High,2022-06-23T07:00:00Z
Otter Tail County,27111,Minnesota,58746,582,"Otter Tail, MN - Grant, MN",64718,6.3,12.4,156.61,Medium,2022-08-11T07:00:00Z
Cherokee County,40021,Oklahoma,48657,445,"Muskogee, OK - Wagoner, OK",239733,3,1.7,2.06,Low,2022-04-28T07:00:00Z
Perry County,18123,Indiana,19169,316,"Daviess (Owensboro), KY - Ohio, KY",162603,5.8,18.4,459.07,High,2022-09-01T07:00:00Z
Hatillo Muni,72065,Puerto Rico,39218,904,Puerto Rico,3193694,3.6,8.4,487.02,Medium,2022-07-07T07:00:00Z
Tensas Parish,22107,Louisiana,4334,435,"Adams, MS - Concordia, LA",68989,1.1,8.7,530.69,Medium,2022-09-01T07:00:00Z
Crawford County,13079,Georgia,12404,193,"Bibb (Macon), GA - Houston, GA",456389,2.9,7.2,48.37,Low,2022-07-07T07:00:00Z
Ouachita County,05103,Arkansas,23382,496,"Ouachita, AR - Dallas, AR",30391,0,0,17.11,Low,2022-03-24T07:00:00Z
Polk County,12105,Florida,724777,202,"Polk (Lakeland), FL - Highlands, FL",857935,1.4,4.5,32.84,Low,2022-04-14T07:00:00Z
Nassau County,36059,New York,1356924,83,"Suffolk, NY - Nassau, NY",2833525,4.8,6.8,58.22,Low,2022-03-03T07:00:00Z
Manitowoc County,55071,Wisconsin,78981,355,"Sheboygan (Sheboygan), WI - Manitowoc, WI",244410,2.8,7.4,194.98,Low,2022-07-28T07:00:00Z
Floyd County,19067,Iowa,15642,634,"Floyd, IA - Chickasaw, IA",27575,2.8,3.6,102.29,Low,2022-02-24T07:00:00Z
Ross County,39141,Ohio,76666,337,"Scioto, OH - Ross, OH",193027,0.7,1,13.04,Low,2022-04-14T07:00:00Z
Cuming County,31039,Nebraska,8846,542,"Douglas (Omaha), NE - Sarpy, NE",889657,5.9,11.9,192.18,Medium,2022-08-18T07:00:00Z
St. Charles Parish,22089,Louisiana,53100,403,"Orleans (New Orleans), LA - Jefferson, LA",1010111,0.5,3,13.18,Low,2022-04-28T07:00:00Z
York County,31185,Nebraska,13679,611,"York, NE - Polk, NE",18892,5.9,0,2003.07,Medium,2022-03-03T07:00:00Z
Hardee County,12049,Florida,26937,202,"Polk (Lakeland), FL - Highlands, FL",857935,7.3,27.7,196.76,High,2022-07-07T07:00:00Z
Avery County,37011,North Carolina,17557,240,"Yancey, NC - Avery, NC",50590,2.5,0,148.09,Low,2022-08-18T07:00:00Z
Dubois County,18037,Indiana,42736,394,"Dubois, IN",42736,0.2,2.3,21.06,Low,2022-05-05T07:00:00Z
Stevens County,27149,Minnesota,9805,608,"Douglas, MN - Pope, MN",59195,2.3,13.5,112.19,Medium,2022-07-21T07:00:00Z
Arthur County,31005,Nebraska,463,593,"Lincoln, NE - Keith, NE",47478,3.2,6.3,0,Low,2022-04-21T07:00:00Z
Union County,17181,Illinois,16653,563,"Cape Girardeau, MO - Butler, MO",310071,0.1,0,144.12,Low,2022-05-12T07:00:00Z
Lake County,39085,Ohio,230149,288,"Cuyahoga (Cleveland), OH - Lake, OH",1656111,1.6,4.2,58.22,Low,2022-04-21T07:00:00Z
Jackson Parish,22049,Louisiana,15744,439,"Lincoln, LA - Union, LA",97835,0.2,1,114.33,Low,2022-03-17T07:00:00Z
Greenville County,45045,South Carolina,523542,182,"Greenville (Greenville), SC - Anderson, SC",932530,4.2,13.3,260.15,High,2022-07-21T07:00:00Z
Franklin County,20059,Kansas,25544,624,"Johnson (Overland Park), KS - Douglas, KS",792299,0.8,3,0,Low,2022-03-31T07:00:00Z
Pine County,27115,Minnesota,29579,289,"St. Louis (Duluth), MN - Itasca, MN",381133,3.2,7.9,240.04,Medium,2022-05-12T07:00:00Z
